"課金計上年月","ジャーナル連番","利用者番号","支払責任者番号","プロジェクトコード","ホストID","クラスID","キュー名","投入日時","開始日時","終了日時","経過時間","使用ノード数","ユーザCPU時間","最大メモリサイズ","ベクトル時間","ベクトル演算率","ノード時間（使用量）","要求VEノード総数","確保VEノード総数","VEのCPU消費時間"
"202404","33008","a2","z111","pj1","LX","LX","lx_hour","20240417211945","20240417212009","20240417212009","0","1","1","22","0","0.0","0","0","0","0"
"202404","33011","a2","z111","pj1","LX","LX","lx_hour","20240417212425","20240417212454","20240417212504","10","1","1","23","0","0.0","10","0","0","0"
"202404","33018","a2","z111","pj1","LX","LX","lx_hour","20240417215337","20240417215354","20240417215355","0","1","1","21","0","0.0","0","0","0","0"
"202404","33019","a2","z111","pj1","LX","LX","lx_hour","20240417212609","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","33020","a2","z111","pj1","LX","LX","lx_hour","20240417215446","20240417215509","20240417215509","0","1","1","22","0","0.0","0","0","0","0"
"202404","33021","a2","z111","pj1","LX","LX","lx_hour","20240417215559","20240417215624","20240417215624","0","1","1","22","0","0.0","0","0","0","0"
"202404","33022","a2","z111","pj1","LX","LX","lx_hour","20240417215737","20240417215754","20240417215754","0","1","1","22","0","0.0","0","0","0","0"
"202404","33023","a2","z111","pj1","LX","LX","lx_hour","20240417215848","20240417215909","20240417215909","0","1","1","22","0","0.0","0","0","0","0"
"202404","33024","a2","z111","pj1","LX","LX","lx_hour","20240417220118","20240417220139","20240417220244","65","1","1","968","0","0.0","65","0","0","0"
"202404","33025","a2","z111","pj1","LX","LX","lx_hour","20240417220411","20240417220439","20240417220544","65","1","1","20","0","0.0","65","0","0","0"
"202404","33029","a2","z111","pj1","LX","LX","lx_hour","20240417221431","20240417221454","20240417221455","0","1","1","22","0","0.0","0","0","0","0"
"202404","33030","a2","z111","pj1","LX","LX","lx_hour","20240417221538","20240417221554","20240417221555","0","1","1","21","0","0.0","0","0","0","0"
"202404","33067","a2","z111","pj1","FR","SESSION","","20240417135430","","","","","","","","","0","","",""
"202404","33275","a2","z111","pj1","LX","LX","lx_hour","20240418162549","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202404","33300","a2","z111","pj1","LX","LX","lx_hour","20240418162659","20240418175154","20240418175204","10","1","1","36","0","0.0","10","0","0","0"
"202404","33374","a3","z111","pj2","FR","SESSION","","20240418123457","","","","","","","","","0","","",""
"202404","33375","a2","z111","pj1","FR","SESSION","","20240418162506","","","","","","","","","0","","",""
"202404","33376","a4","z111","pj1","FR","SESSION","","20240418160218","","","","","","","","","0","","",""
"202404","33469","a4","z111","pj1","LX","LX","lx_day","20240418170349","20240419060939","20240419060940","1","1","1","17","0","0.0","1","0","0","0"
"202404","33674","a3","z111","pj2","FR","SESSION","","20240419132714","","","","","","","","","0","","",""
"202404","33675","a4","z111","pj1","FR","SESSION","","20240419091559","","","","","","","","","0","","",""
"202404","34420","a4","z111","pj1","LX","LX","lx_hour","20240422151505","20240422170809","20240422170809","0","1","1","20","0","0.0","0","0","0","0"
"202404","34423","a3","z111","pj2","LX","LX","lx_hour","20240422152046","20240422170809","20240422170915","0","1","1","17","0","0.0","0","0","0","0"
"202404","34526","a3","z111","pj2","FR","SESSION","","20240422152010","","","","","","","","","0","","",""
"202404","34527","a4","z111","pj1","FR","SESSION","","20240422151340","","","","","","","","","0","","",""
"202404","34782","a4","z111","pj1","FR","SESSION","","20240423142729","","","","","","","","","0","","",""
"202404","35343","a4","z111","pj1","LX","LX","lx_hour","20240426105238","20240426110024","20240426113029","1805","1","210246","50667","0","0.0","1805","0","0","0"
"202404","35390","a5","z111","pj1","LX","LX","lx_hour","20240426160920","20240426160939","20240426161019","40","1","4732","9831","0","0.0","40","0","0","0"
"202404","35392","a5","z111","pj1","LX","LX","lx_hour","20240426161125","20240426161154","20240426161727","333","1","41423","21066","0","0.0","333","0","0","0"
"202404","35394","a5","z111","pj1","LX","LX","lx_hour","20240426161818","20240426161839","20240426162532","413","1","51604","2872","0","0.0","413","0","0","0"
"202404","35396","a5","z111","pj1","LX","LX","lx_hour","20240426162716","20240426162739","20240426162748","8","1","826","392","0","0.0","8","0","0","0"
"202404","35398","a5","z111","pj1","LX","LX","lx_hour","20240426162915","20240426162939","20240426162959","20","1","2119","629","0","0.0","20","0","0","0"
"202404","35496","a4","z111","pj1","FR","SESSION","","20240426105029","","","","","","","","","0","","",""
"202404","35497","a5","z111","pj1","FR","SESSION","","20240426155118","","","","","","","","","0","","",""
"202404","35515","a4","z111","pj1","LX","AP","","","20240427033003","20240428033001","1881913","1","","0","","","0","","",""
"202404","35516","a4","z111","pj1","LX","AP","","","20240427033003","20240428033001","18417","1","","0","","","70678","","",""
"202404","35517","a4","z111","pj1","LX","AP","","","20240427033003","20240428033001","30","1","","0","","","26","","",""
"202404","35518","a4","z111","pj1","LX","AP","","","20240427033003","20240428033001","17061","1","","0","","","67748","","",""
"202404","35519","a4","z111","pj1","LX","AP","","","20240427033003","20240428033001","1846310","1","","0","","","7199822","","",""
"202404","35639","a5","z111","pj1","LX","LX","lx1","20240426163439","20240427083024","20240427224959","51574","1","6557570","8888","0","0.0","51574","0","0","0"
"202404","35660","a4","z111","pj1","LX","AP","","","20240428033002","20240429033000","14885","1","","0","","","0","","",""
"202404","35661","a4","z111","pj1","LX","AP","","","20240428033002","20240429033000","7719","1","","0","","","30490","","",""
"202404","35662","a4","z111","pj1","LX","AP","","","20240428033002","20240429033000","7166","1","","0","","","28287","","",""
"202404","35855","a4","z111","pj1","LX","LX","lx1","20240426163514","20240427065624","20240429065629","172805","1","20984688","65930","0","0.0","172805","0","0","0"
"202404","36089","a4","z111","pj1","LX","LX","lx_day","20240430111716","20240430122924","20240430134618","4613","1","543678","51938","0","0.0","4613","0","0","0"
"202404","36496","a4","z111","pj1","FR","SESSION","","20240430111602","","","","","","","","","0","","",""
"202404","36497","a5","z111","pj1","FR","SESSION","","20240430145312","","","","","","","","","0","","",""
"202405","30","a4","z111","pj1","LX","AP","","","20240501033003","20240502033000","48388","1","","0","","","0","","",""
"202405","31","a4","z111","pj1","LX","AP","","","20240501033003","20240502033000","48387","1","","0","","","190701","","",""
"202405","53","a4","z111","pj1","LX","LX","lx_day","20240430135258","20240430141524","20240501021529","43205","1","5201295","37222","0","0.0","43205","0","0","0"
"202405","356","a4","z111","pj1","FR","SESSION","","20240501102022","","","","","","","","","0","","",""
"202405","357","a5","z111","pj1","FR","SESSION","","20240501151718","","","","","","","","","0","","",""
"202405","402","a4","z111","pj1","LX","AP","","","20240502033001","20240503033001","1961282","1","","0","","","0","","",""
"202405","403","a4","z111","pj1","LX","AP","","","20240502033001","20240503033001","58512","1","","0","","","231414","","",""
"202405","404","a4","z111","pj1","LX","AP","","","20240502033001","20240503033001","2","1","","0","","","2","","",""
"202405","405","a4","z111","pj1","LX","AP","","","20240502033001","20240503033001","1902673","1","","0","","","7478170","","",""
"202405","484","a6","z111","pj1","LX","LX","lx_hour","20240502170250","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202405","485","a6","z111","pj1","LX","LX","lx_hour","20240502170745","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202405","486","a6","z111","pj1","LX","LX","lx_hour","20240502170844","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202405","487","a6","z111","pj1","LX","LX","lx1","20240502170927","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202405","505","a6","z111","pj1","LX","LX","lx1","20240502170931","20240502192609","20240502192610","0","1","1","19","0","0.0","0","0","0","0"
"202405","544","a4","z111","pj1","FR","SESSION","","20240502103455","","","","","","","","","0","","",""
"202405","545","a6","z111","pj1","FR","SESSION","","20240502145143","","","","","","","","","0","","",""
"202405","560","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","2258252","1","","0","","","0","","",""
"202405","561","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","26662","1","","0","","","105208","","",""
"202405","562","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","5","1","","0","","","7","","",""
"202405","563","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","23","1","","0","","","18","","",""
"202405","564","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","4532","1","","0","","","17956","","",""
"202405","565","a4","z111","pj1","LX","AP","","","20240503033002","20240504033001","2226991","1","","0","","","8784373","","",""
"202405","634","a6","z111","pj1","LX","LX","lx1","20240502170924","20240503083454","20240503083505","9","1","1","48","0","0.0","9","0","0","0"
"202405","637","a6","z111","pj1","LX","LX","lx1","20240502170937","20240503084039","20240503084040","0","1","1","20","0","0.0","0","0","0","0"
"202405","645","a6","z111","pj1","LX","LX","lx1","20240502170928","20240503094654","20240503094655","0","1","1","20","0","0.0","0","0","0","0"
"202405","648","a6","z111","pj1","LX","LX","lx1","20240502170940","20240503110839","20240503110840","0","1","1","20","0","0.0","0","0","0","0"
"202405","925","a4","z111","pj1","LX","AP","","","20240505033002","20240506033000","26602","1","","0","","","0","","",""
"202405","926","a4","z111","pj1","LX","AP","","","20240505033002","20240506033000","1","1","","0","","","1","","",""
"202405","927","a4","z111","pj1","LX","AP","","","20240505033002","20240506033000","26600","1","","0","","","103548","","",""
"202405","1153","a4","z111","pj1","LX","LX","lx1","20240501103709","20240501161939","20240506161944","432005","1","52765655","69025","0","0.0","432005","0","0","0"
"202405","1250","a1","z111","pj1","DI","DISK","","","20240507140635","20240507140635","0","1","","0","","","35","","",""
"202405","1447","a6","z111","pj1","LX","LX","lx1","20240507134950","20240507200409","20240507200413","4","1","1","54","0","0.0","4","0","0","0"
"202405","1448","a6","z111","pj1","LX","LX","lx1","20240507134957","20240507200409","20240507200413","4","1","1","53","0","0.0","4","0","0","0"
"202405","1449","a6","z111","pj1","LX","LX","lx1","20240507135002","20240507200409","20240507200413","4","1","1","46","0","0.0","4","0","0","0"
"202405","1543","a5","z111","pj1","FR","SESSION","","20240507143758","","","","","","","","","0","","",""
"202405","1544","a6","z111","pj1","FR","SESSION","","20240507133754","","","","","","","","","0","","",""
"202405","1580","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","763424","1","","0","","","0","","",""
"202405","1581","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","36159","1","","0","","","141768","","",""
"202405","1582","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","1","1","","0","","","1","","",""
"202405","1583","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","8","1","","0","","","6","","",""
"202405","1584","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","5871","1","","0","","","23281","","",""
"202405","1585","a4","z111","pj1","LX","AP","","","20240508050209","20240509033000","721364","1","","0","","","2834379","","",""
"202405","1621","a6","z111","pj1","LX","LX","lx1","20240507134829","20240508030154","20240508030202","8","1","1","51","0","0.0","8","0","0","0"
"202405","1622","a6","z111","pj1","LX","LX","lx1","20240507134944","20240508030154","20240508030202","8","1","1","50","0","0.0","8","0","0","0"
"202405","1904","a4","z111","pj1","FR","SESSION","","20240508105021","","","","","","","","","0","","",""
"202405","1905","a5","z111","pj1","FR","SESSION","","20240508124447","","","","","","","","","0","","",""
"202405","1906","a6","z111","pj1","FR","SESSION","","20240508171708","","","","","","","","","0","","",""
"202405","1975","a2","z111","pj1","LX","AP","","","20240509080109","20240510033000","19277","1","","0","","","0","","",""
"202405","1976","a2","z111","pj1","LX","AP","","","20240509080109","20240510033000","19275","1","","0","","","72822","","",""
"202405","1992","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","1913508","1","","0","","","0","","",""
"202405","1993","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","3639","1","","0","","","14342","","",""
"202405","1994","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","2","1","","0","","","1","","",""
"202405","1995","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","56","1","","0","","","207","","",""
"202405","1996","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","1162354","1","","0","","","4612432","","",""
"202405","1997","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","327478","1","","0","","","1299759","","",""
"202405","1998","a4","z111","pj1","LX","AP","","","20240509033001","20240510033000","419967","1","","0","","","1649582","","",""
"202405","2023","a6","z111","pj1","LX","LX","lx1","20240508175046","20240509040009","20240509040026","16","1","2","446","0","0.0","16","0","0","0"
"202405","2039","a6","z111","pj1","LX","LX","lx1","20240508175052","20240509072354","20240509072403","9","1","2","431","0","0.0","9","0","0","0"
"202405","2046","a6","z111","pj1","LX","LX","lx1","20240508175057","20240509090524","20240509090529","5","1","2","57","0","0.0","5","0","0","0"
"202405","2060","a4","z111","pj1","LX","LX","lx_day","20240508105143","20240508105209","20240509105214","86405","1","10572652","46131","0","0.0","86405","0","0","0"
"202405","2061","a6","z111","pj1","LX","LX","lx1","20240508175040","20240509105224","20240509105236","10","1","2","342","0","0.0","10","0","0","0"
"202405","2065","a5","z111","pj1","LX","LX","lx1","20240508131615","20240509081139","20240509110422","10363","1","1319585","2517","0","0.0","10363","0","0","0"
"202405","2072","a6","z111","pj1","LX","LX","lx1","20240508175104","20240509123154","20240509123204","10","1","2","303","0","0.0","10","0","0","0"
"202405","2084","a2","z111","pj1","LX","LX","lx_day","20240509113918","20240509134739","20240509134801","21","1","180","8123","0","0.0","21","0","0","0"
"202405","2255","a2","z111","pj1","FR","SESSION","","20240509100534","","","","","","","","","0","","",""
"202405","2256","a4","z111","pj1","FR","SESSION","","20240509095328","","","","","","","","","0","","",""
"202405","2257","a5","z111","pj1","FR","SESSION","","20240509131822","","","","","","","","","0","","",""
"202405","2334","a6","z111","pj1","LX","AP","","","20240510033003","20240511033000","86774","1","","0","","","0","","",""
"202405","2335","a6","z111","pj1","LX","AP","","","20240510033003","20240511033000","380","1","","0","","","333","","",""
"202405","2336","a6","z111","pj1","LX","AP","","","20240510033003","20240511033000","2583","1","","0","","","8062","","",""
"202405","2337","a6","z111","pj1","LX","AP","","","20240510033003","20240511033000","531","1","","0","","","1492","","",""
"202405","2338","a6","z111","pj1","LX","AP","","","20240510033003","20240511033000","83232","1","","0","","","229655","","",""
"202405","2432","a5","z111","pj1","LX","LX","lx_day","20240509134219","20240509135739","20240510064116","60216","1","7674834","8930","0","0.0","60216","0","0","0"
"202405","2503","a6","z111","pj1","LX","LX","lx1","20240510121527","20240510121554","20240510133820","4946","1","224653","10330","0","0.0","4946","0","0","0"
"202405","2507","a6","z111","pj1","LX","LX","lx1","20240510121543","20240510123609","20240510135243","4594","1","239918","10299","0","0.0","4594","0","0","0"
"202405","2519","a6","z111","pj1","LX","LX","lx1","20240510121534","20240510123609","20240510140731","5482","1","260670","10859","0","0.0","5482","0","0","0"
"202405","2524","a6","z111","pj1","LX","LX","lx1","20240510121548","20240510123609","20240510141720","6071","1","260942","11256","0","0.0","6071","0","0","0"
"202405","2529","a6","z111","pj1","LX","LX","lx1","20240510121539","20240510123609","20240510143538","7168","1","330530","11390","0","0.0","7168","0","0","0"
"202405","2635","a5","z111","pj1","LX","LX","lx_day","20240510152430","20240510152454","20240510181118","9983","1","1272104","2118","0","0.0","9983","0","0","0"
"202405","2739","a2","z111","pj1","FR","SESSION","","20240510083857","","","","","","","","","0","","",""
"202405","2740","a4","z111","pj1","FR","SESSION","","20240510100102","","","","","","","","","0","","",""
"202405","2741","a5","z111","pj1","FR","SESSION","","20240510145321","","","","","","","","","0","","",""
"202405","2742","a6","z111","pj1","FR","SESSION","","20240510121408","","","","","","","","","0","","",""
"202405","2780","a4","z111","pj1","LX","AP","","","20240511033003","20240512033001","1864290","1","","0","","","0","","",""
"202405","2781","a4","z111","pj1","LX","AP","","","20240511033003","20240512033001","53197","1","","0","","","140898","","",""
"202405","2782","a4","z111","pj1","LX","AP","","","20240511033003","20240512033001","5","1","","0","","","2","","",""
"202405","2783","a4","z111","pj1","LX","AP","","","20240511033003","20240512033001","87","1","","0","","","35","","",""
"202405","2784","a4","z111","pj1","LX","AP","","","20240511033003","20240512033001","1325561","1","","0","","","2893306","","",""
"202405","2797","a2","z111","pj1","LX","LX","lx_day","20240509170850","20240510002609","20240511002610","86401","1","6951452","54005","0","0.0","86401","0","0","0"
"202405","2861","a5","z111","pj1","LX","LX","lx_day","20240510213519","20240510214524","20240511114921","50636","1","6446508","8700","0","0.0","50636","0","0","0"
"202405","2921","a4","z111","pj1","LX","AP","","","20240512033002","20240513033001","2635336","1","","0","","","0","","",""
"202405","2922","a4","z111","pj1","LX","AP","","","20240512033002","20240513033001","198365","1","","0","","","356036","","",""
"202405","2923","a4","z111","pj1","LX","AP","","","20240512033002","20240513033001","9","1","","0","","","3","","",""
"202405","2924","a4","z111","pj1","LX","AP","","","20240512033002","20240513033001","117","1","","0","","","34","","",""
"202405","2925","a4","z111","pj1","LX","AP","","","20240512033002","20240513033001","3534342","1","","0","","","5933076","","",""
"202405","2984","a5","z111","pj1","LX","LX","lx_day","20240512005527","20240512084539","20240512113443","10144","1","1289362","2337","0","0.0","10144","0","0","0"
"202405","3068","a4","z111","pj1","FR","SESSION","","20240512175822","","","","","","","","","0","","",""
"202405","3069","a5","z111","pj1","FR","SESSION","","20240512005004","","","","","","","","","0","","",""
"202405","3104","a5","z111","pj1","LX","LX","lx_day","20240512160014","20240512173009","20240513071800","49671","1","6326753","8938","0","0.0","49671","0","0","0"
"202405","3436","a5","z111","pj1","LX","LX","lx_day","20240513130630","20240513130654","20240513155855","10321","1","1314206","2384","0","0.0","10321","0","0","0"
"202405","3466","a5","z111","pj1","LX","LX","lx_day","20240513161053","20240513161109","20240513170233","3084","1","392479","1148","0","0.0","3084","0","0","0"
"202405","3468","a5","z111","pj1","LX","LX","lx_hour","20240513171154","20240513171224","20240513171236","10","1","942","420","0","0.0","10","0","0","0"
"202405","3469","a5","z111","pj1","LX","LX","lx_hour","20240513171232","19700101090000","19700101090000","0","1","0","0","0","0.0","0","0","0","0"
"202405","3471","a5","z111","pj1","LX","LX","lx_day","20240513172640","20240513172709","20240513172919","130","1","16086","718","0","0.0","130","0","0","0"
"202405","3555","a4","z111","pj1","FR","SESSION","","20240513102723","","","","","","","","","0","","",""
"202405","3556","a5","z111","pj1","FR","SESSION","","20240513125256","","","","","","","","","0","","",""
"202405","3598","a3","z111","pj2","LX","AP","","","20240514132539","20240515021523","777","1","","0","","","0","","",""
"202405","3599","a3","z111","pj2","LX","AP","","","20240514132539","20240515021523","776","1","","0","","","85626","","",""
